Waardeverminderingen op vlottende activa,,,,
"andere dan voorraden, bestellingen in",,,,
uitvoering en handelsvorderingen: toevoegingen,,,,
(terugnemingen) (+)/(-),,651,,
Andere financiële kosten,,652/9,7.349,7.585
Niet-recurrente financiële kosten,6.12,66B,,
Winst (Verlies) van het boekjaar vóór belasting (+)/(-),,9903,65.266,108.224
Onttrekking aan de uitgestelde belastingen,,780,,
Overboeking naar de uitgestelde belastingen,,680,,
Belastingen op het resultaat (+)/(-),6.13,67/77,52.766,95.724
Belastingen,,670/3,52.766,95.724
Regularisering van belastingen en terugneming van,,,,
voorzieningen voor belastingen,,77,,
Winst (Verlies) van het boekjaar (+)/(-),,9904,12.500,12.500
Onttrekking aan de belastingvrije reserves,,789,,
Overboeking naar de belastingvrije reserves,,689,,
Te bestemmen winst (verlies) van het boekjaar (+)/(-),,9905,12.500,12.500
Nr.,BE 0478.065.191,VOL-kap 5
"",,Codes,Boekjaar,,Vorig boekjaar
Te bestemmen winst (verlies),(+)/(-),9906,479.016,,466.516
Te bestemmen winst (verlies) van het boekjaar,(+)/(-),9905,12.500,,12.500
Overgedragen winst (verlies) van het vorige boekjaar,(+)/(-),14P,466.516,,454.016
Onttrekking aan het eigen vermogen,,791/2,,,
aan de inbreng,,791,,,
aan de reserves,,792,,,
Toevoeging aan het eigen vermogen,,691/2,,,
aan de inbreng,,691,,,
aan de wettelijke reserve,,6920,,,
aan de overige reserves,,6921,,,
Over te dragen winst (verlies),(+)/(-),14,479.016,,466.516
Tussenkomst van de vennoten in het verlies,,794,,,
Uit te keren winst,,694/7,,,
Vergoeding van de inbreng,,694,,,
Bestuurders of zaakvoerders,,695,,,
Werknemers,,696,,,
Andere rechthebbenden,,697,,,
Nr.,BE 0478.065.191,VOL-kap 6.3.2
"",Codes,Boekjaar,Vorig boekjaar
"INSTALLATIES, MACHINES EN UITRUSTING",,,
Aanschaffingswaarde per einde van het boekjaar,8192P,XXXXXXXXXX,6.055.522
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8162,734,
Overdrachten en buitengebruikstellingen,8172,,
Overboekingen van een post naar een andere (+)/(-),8182,,
Aanschaffingswaarde per einde van het boekjaar,8192,6.056.256,
Meerwaarden per einde van het boekjaar,8252P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8212,,
Verworven van derden,8222,,
Afgeboekt,8232,,
Overgeboekt van een post naar een andere (+)/(-),8242,,
Meerwaarden per einde van het boekjaar,8252,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8322P,XXXXXXXXXX,2.419.684
Mutaties tijdens het boekjaar,,,
Geboekt,8272,429.473,
Teruggenomen,8282,,
Verworven van derden,8292,,
Afgeboekt na overdrachten en buitengebruikstellingen,8302,,
Overgeboekt van een post naar een andere (+)/(-),8312,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8322,2.849.157,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,23,3.207.099,
Nr.,BE 0478.065.191,VOL-kap 6.3.3
"",Codes,Boekjaar,Vorig boekjaar
MEUBILAIR EN ROLLEND MATERIEEL,,,
Aanschaffingswaarde per einde van het boekjaar,8193P,XXXXXXXXXX,5.409.177
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8163,115.807,
Overdrachten en buitengebruikstellingen,8173,,
Overboekingen van een post naar een andere (+)/(-),8183,,
Aanschaffingswaarde per einde van het boekjaar,8193,5.524.984,
Meerwaarden per einde van het boekjaar,8253P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8213,,
Verworven van derden,8223,,
Afgeboekt,8233,,
Overgeboekt van een post naar een andere (+)/(-),8243,,
Meerwaarden per einde van het boekjaar,8253,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8323P,XXXXXXXXXX,4.693.369
Mutaties tijdens het boekjaar,,,
Geboekt,8273,624.345,
Teruggenomen,8283,,
Verworven van derden,8293,,
Afgeboekt na overdrachten en buitengebruikstellingen,8303,,
Overgeboekt van een post naar een andere (+)/(-),8313,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8323,5.317.714,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,24,207.270,
Nr.,BE 0478.065.191,VOL-kap 6.3.6
"",Codes,Boekjaar,Vorig boekjaar
ACTIVA IN AANBOUW EN VOORUITBETALINGEN,,,
Aanschaffingswaarde per einde van het boekjaar,8196P,XXXXXXXXXX,36.188
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8166,,
Overdrachten en buitengebruikstellingen,8176,36.188,
Overboekingen van een post naar een andere (+)/(-),8186,,
Aanschaffingswaarde per einde van het boekjaar,8196,,
Meerwaarden per einde van het boekjaar,8256P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8216,,
Verworven van derden,8226,,
Afgeboekt,8236,,
Overgeboekt van een post naar een andere (+)/(-),8246,,
Meerwaarden per einde van het boekjaar,8256,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8326P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8276,,
Teruggenomen,8286,,
Verworven van derden,8296,,
Afgeboekt na overdrachten en buitengebruikstellingen,8306,,
Overgeboekt van een post naar een andere (+)/(-),8316,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8326,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,27,,
Nr.,BE 0478.065.191,VOL-kap 6.4.1
"",,Codes,Boekjaar,Vorig boekjaar
VERBONDEN ONDERNEMINGEN - DEELNEMINGEN EN,,,,
AANDELEN,,,,
Aanschaffingswaarde per einde van het boekjaar,,8391P,XXXXXXXXXX,84.482
Mutaties tijdens het boekjaar,,,,
Aanschaffingen,,8361,,
Overdrachten en buitengebruikstellingen,,8371,83.600,
Overboekingen van een post naar een andere (+)/(-),,8381,,
Aanschaffingswaarde per einde van het boekjaar,,8391,882,
Meerwaarden per einde van het boekjaar,,8451P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Geboekt,,8411,,
Verworven van derden,,8421,,
Afgeboekt,,8431,,
Overgeboekt van een post naar een andere (+)/(-),,8441,,
Meerwaarden per einde van het boekjaar,,8451,,
Waardeverminderingen per einde van het boekjaar,,8521P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Geboekt,,8471,,
Teruggenomen,,8481,,
Verworven van derden,,8491,,
Afgeboekt na overdrachten en buitengebruikstellingen,,8501,,
Overgeboekt van een post naar een andere (+)/(-),,8511,,
Waardeverminderingen per einde van het boekjaar,,8521,,
Niet-opgevraagde bedragen per einde van het boekjaar,,8551P,XXXXXXXXXX,
Mutaties tijdens het boekjaar (+)/(-),,8541,,
Niet-opgevraagde bedragen per einde van het boekjaar,,8551,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,280,882,
VERBONDEN ONDERNEMINGEN - VORDERINGEN,,,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,281P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Toevoegingen,,8581,,
Terugbetalingen,,8591,,
Geboekte waardeverminderingen,,8601,,
Teruggenomen waardeverminderingen,,8611,,
Wisselkoersverschillen (+)/(-),,8621,,
Overige mutaties (+)/(-),,8631,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,281,,
GECUMULEERDE WAARDEVERMINDERINGEN OP,,,,
VORDERINGEN PER EINDE BOEKJAAR,,8651,,
Nr.,BE 0478.065.191,VOL-kap 6.4.3
"",,Codes,Boekjaar,Vorig boekjaar
ANDERE ONDERNEMINGEN - DEELNEMINGEN EN,,,,
AANDELEN,,,,
Aanschaffingswaarde per einde van het boekjaar,,8393P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Aanschaffingen,,8363,,
Overdrachten en buitengebruikstellingen,,8373,,
Overboekingen van een post naar een andere (+)/(-),,8383,,
Aanschaffingswaarde per einde van het boekjaar,,8393,,
Meerwaarden per einde van het boekjaar,,8453P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Geboekt,,8413,,
Verworven van derden,,8423,,
Afgeboekt,,8433,,
Overgeboekt van een post naar een andere (+)/(-),,8443,,
Meerwaarden per einde van het boekjaar,,8453,,
Waardeverminderingen per einde van het boekjaar,,8523P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,,
Geboekt,,8473,,
Teruggenomen,,8483,,
Verworven van derden,,8493,,
Afgeboekt na overdrachten en buitengebruikstellingen,,8503,,
Overgeboekt van een post naar een andere (+)/(-),,8513,,
Waardeverminderingen per einde van het boekjaar,,8523,,
Niet-opgevraagde bedragen per einde van het boekjaar,,8553P,XXXXXXXXXX,
Mutaties tijdens het boekjaar (+)/(-),,8543,,
Niet-opgevraagde bedragen per einde van het boekjaar,,8553,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,284,,
ANDERE ONDERNEMINGEN - VORDERINGEN,,,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,285/8P,XXXXXXXXXX,7.961
Mutaties tijdens het boekjaar,,,,
Toevoegingen,,8583,,
Terugbetalingen,,8593,199,
Geboekte waardeverminderingen,,8603,,
Teruggenomen waardeverminderingen,,8613,,
Wisselkoersverschillen (+)/(-),,8623,,
Overige mutaties (+)/(-),,8633,,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,285/8,7.762,
GECUMULEERDE WAARDEVERMINDERINGEN OP,,,,
VORDERINGEN PER EINDE BOEKJAAR,,8653,,
Nr.,BE 0478.065.191,VOL-kap 6.5.1
"",,Aangehouden maatschappelijke rechten,Gegevens geput uit de laatst beschikbare jaarrekening,
"NAAM, volledig adres van de",,doch-,,
"",,rechtstreeks,Eigen vermogen Nettoresultaat,
"ZETEL en, zo het een onderneming",,ters,,
"naar Belgisch recht betreft, het",,,Jaarrekening Munt-,
"",,Aard,,
ONDERNEMINGSNUMMER,,,per code,
"",,Aantal % %,(+) of (-),
"",,,(in eenheden),
LIEDEKERKE AFRICA  S.A.S.U.,,,31-12-2020 CDF 1,1
Geen rechtsvorm,,,,
Avenue Batetela 70,,,,
Gombe- Kinshasa,,,,
CONGO (DEM. REP.),,,,
"",-,100 100,,
LIEDEKERKE GREAT LAKES,,,31-12-2020 RWF 1,1
LIMITED,,,,
Geen rechtsvorm,,,,
Career Center Building 6th Floor,,,,
KG541St Kigali,,,,
RWANDA,,,,
"",-,100 100,,
Nr.,BE 0478.065.191,VOL-kap 6.6
"",Codes,Boekjaar,Vorig boekjaar
OVERIGE GELDBELEGGINGEN,,,
Aandelen en geldbeleggingen andere dan vastrentende,,,
beleggingen,51,,
Aandelen - Boekwaarde verhoogd met het niet-opgevraagde bedrag,8681,,
Aandelen - Niet-opgevraagd bedrag,8682,,
Edele metalen en kunstwerken,8683,,
Vastrentende effecten,52,,
Vastrentende effecten uitgegeven door kredietinstellingen,8684,,
Termijnrekeningen bij kredietinstellingen,53,,
Met een resterende looptijd of opzegtermijn van,,,
hoogstens één maand,8686,,
meer dan één maand en hoogstens één jaar,8687,,
meer dan één jaar,8688,,
Hierboven niet-opgenomen overige geldbeleggingen,8689,,
Nr.,BE 0478.065.191,VOL-kap 6.7.1
"",Codes,Boekjaar,Vorig boekjaar
AAT VAN HET KAPITAAL,,,
pitaal,,,
Geplaatst kapitaal per einde van het boekjaar,100P,XXXXXXXXXX,62.469
Geplaatst kapitaal per einde van het boekjaar,100,62.469,
"",Codes,Bedragen,Aantal aandelen
Wijzigingen tijdens het boekjaar,,,
Samenstelling van het kapitaal,,,
Soorten aandelen,,,
Aandelen op naam,,62.469,24
Aandelen op naam,8702,XXXXXXXXXX,24
Gedematerialiseerde aandelen,8703,XXXXXXXXXX,
"",Codes,Niet-opgevraagd bedrag,"Opgevraagd, niet-"
"",,,gestort bedrag
t-gestort kapitaal,,,
Niet-opgevraagd kapitaal,101,,XXXXXXXXXX
"Opgevraagd, niet-gestort kapitaal",8712,XXXXXXXXXX,
Aandeelhouders die nog moeten volstorten,,,
"",Codes,Boekjaar
Eigen aandelen,,
Gehouden door de vennootschap zelf,,
Kapitaalbedrag,8721,
Aantal aandelen,8722,
Gehouden door haar dochters,,
Kapitaalbedrag,8731,
Aantal aandelen,8732,
Verplichtingen tot uitgifte van aandelen,,
Als gevolg van de uitoefening van conversierechten,,
Bedrag van de lopende converteerbare leningen,8740,
Bedrag van het te plaatsen kapitaal,8741,
Maximum aantal uit te geven aandelen,8742,
Als gevolg van de uitoefening van inschrijvingsrechten,,
Aantal inschrijvingsrechten in omloop,8745,
Bedrag van het te plaatsen kapitaal,8746,
Maximum aantal uit te geven aandelen,8747,
"Toegestaan, niet-geplaatst kapitaal",8751,
Nr.,BE 0478.065.191,VOL-kap 6.7.1
"",Codes,Boekjaar
Aantal aandelen gehouden door haar dochters,8781,
Nr.,BE 0478.065.191,VOL-kap 6.9
"",Codes,Boekjaar
UITSPLITSING VAN DE SCHULDEN MET EEN OORSPRONKELIJKE LOOPTIJD,,
"VAN MEER DAN ÉÉN JAAR, NAARGELANG HUN RESTERENDE LOOPTIJD",,
Schulden op meer dan één jaar die binnen het jaar vervallen,,
Financiële schulden,8801,170.990
Achtergestelde leningen,8811,
Niet-achtergestelde obligatieleningen,8821,
Leasingschulden en soortgelijke schulden,8831,
Kredietinstellingen,8841,170.990
Overige leningen,8851,
Handelsschulden,8861,
Leveranciers,8871,
Te betalen wissels,8881,
Vooruitbetalingen op bestellingen,8891,
Overige schulden,8901,
Totaal der schulden op meer dan één jaar die binnen het jaar vervallen,42,170.990
Schulden met een resterende looptijd van meer dan één jaar doch hoogstens 5 jaar,,
Financiële schulden,8802,523.694
Achtergestelde leningen,8812,
Niet-achtergestelde obligatieleningen,8822,
Leasingschulden en soortgelijke schulden,8832,
Kredietinstellingen,8842,523.694
Overige leningen,8852,
Handelsschulden,8862,
Leveranciers,8872,
Te betalen wissels,8882,
Vooruitbetalingen op bestellingen,8892,
Overige schulden,8902,
Totaal der schulden met een resterende looptijd van meer dan één jaar doch hoogstens 5,,
jaar,8912,523.694
Schulden met een resterende looptijd van meer dan 5 jaar,,
Financiële schulden,8803,
Achtergestelde leningen,8813,
Niet-achtergestelde obligatieleningen,8823,
Leasingschulden en soortgelijke schulden,8833,
Kredietinstellingen,8843,
Overige leningen,8853,
Handelsschulden,8863,
Leveranciers,8873,
Te betalen wissels,8883,
Vooruitbetalingen op bestellingen,8893,
Overige schulden,8903,
Totaal der schulden met een resterende looptijd van meer dan 5 jaar,8913,
Nr.,BE 0478.065.191,VOL-kap 6.9
"",Codes,Boekjaar
Totaal van de door Belgische overheidsinstellingen gewaarborgde schulden,9061,
Schulden gewaarborgd door zakelijke zekerheden gesteld of onherroepelijk beloofd op,,
activa van de vennootschap,,
Financiële schulden,8922,
Achtergestelde leningen,8932,
Niet-achtergestelde obligatieleningen,8942,
Leasingschulden en soortgelijke schulden,8952,
Kredietinstellingen,8962,
Overige leningen,8972,
Handelsschulden,8982,
Leveranciers,8992,
Te betalen wissels,9002,
Vooruitbetalingen op bestellingen,9012,
"Schulden met betrekking tot belastingen, bezoldigingen en sociale lasten",9022,
Belastingen,9032,
Bezoldigingen en sociale lasten,9042,
Overige schulden,9052,
Totaal der schulden gewaarborgd door zakelijke zekerheden gesteld of onherroepelijk,,
beloofd op activa van de vennootschap,9062,
"",Codes,Boekjaar
"SCHULDEN MET BETREKKING TOT BELASTINGEN, BEZOLDIGINGEN EN",,
SOCIALE LASTEN,,
Belastingen,,
Vervallen belastingschulden,9072,
Niet-vervallen belastingschulden,9073,
Geraamde belastingschulden,450,13.319
Bezoldigingen en sociale lasten,,
Vervallen schulden ten aanzien van de Rijksdienst voor Sociale Zekerheid,9076,
Andere schulden met betrekking tot bezoldigingen en sociale lasten,9077,10.437.757
Nr.,BE 0478.065.191,VOL-kap 6.10
"",Codes,Boekjaar,Vorig boekjaar
BEDRIJFSOPBRENGSTEN,,,
Netto-omzet,,,
Uitsplitsing per bedrijfscategorie,,,
Juridische dienstverlening,,31.949.900,33.104.967
Uitsplitsing per geografische markt,,,
Omzet in België,,18.892.223,19.133.584
Omzet in het buitenland,,13.057.677,13.971.383
Andere bedrijfsopbrengsten,,,
Exploitatiesubsidies en vanwege de overheid ontvangen,,,
compenserende bedragen,740,,
BEDRIJFSKOSTEN,,,
Werknemers waarvoor de vennootschap een DIMONA-verklaring,,,
heeft ingediend of die zijn ingeschreven in het algemeen,,,
personeelsregister,,,
Totaal aantal op de afsluitingsdatum,9086,52,57
Gemiddeld personeelsbestand berekend in voltijdse equivalenten,9087,"49,5","53,6"
Aantal daadwerkelijk gepresteerde uren,9088,76.896,84.401
Personeelskosten,,,
Bezoldigingen en rechtstreekse sociale voordelen,620,2.425.523,2.667.478
Werkgeversbijdragen voor sociale verzekeringen,621,677.678,645.380
Werkgeverspremies voor bovenwettelijke verzekeringen,622,94.400,101.941
Andere personeelskosten,623,110.651,110.153
Ouderdoms- en overlevingspensioenen,624,,
Voorzieningen voor pensioenen en soortgelijke verplichtingen,,,
Toevoegingen (bestedingen en terugnemingen) (+)/(-),635,,
Waardeverminderingen,,,
Op voorraden en bestellingen in uitvoering,,,
Geboekt,9110,,
Teruggenomen,9111,,
Op handelsvorderingen,,,
Geboekt,9112,125.337,176.471
Teruggenomen,9113,4.410,
Voorzieningen voor risico's en kosten,,,
Toevoegingen,9115,123.666,652.000
Bestedingen en terugnemingen,9116,250.000,
Andere bedrijfskosten,,,
Bedrijfsbelastingen en -taksen,640,126.815,161.290
Andere,641/8,,
Uitzendkrachten en ter beschikking van de vennootschap gestelde,,,
personen,,,
Totaal aantal op de afsluitingsdatum,9096,,
Gemiddeld aantal berekend in voltijdse equivalenten,9097,"0,1","1,6"
Aantal daadwerkelijk gepresteerde uren,9098,171,3.239
Kosten voor de vennootschap,617,22.167,152.900
Nr.,BE 0478.065.191,VOL-kap 6.12
"",Codes,Boekjaar,Vorig boekjaar
NIET-RECURRENTE OPBRENGSTEN,76,321.931,361.019
Niet-recurrente bedrijfsopbrengsten,76A,321.931,361.019
Terugneming van afschrijvingen en van waardeverminderingen op,,,
immateriële en materiële vaste activa,760,,
Terugneming van voorzieningen voor niet-recurrente bedrijfsrisico's,,,
en -kosten,7620,,
Meerwaarden bij de realisatie van immateriële en materiële vaste,,,
activa,7630,,
Andere niet-recurrente bedrijfsopbrengsten,764/8,321.931,361.019
Niet-recurrente financiële opbrengsten,76B,,
Terugneming van waardeverminderingen op financiële vaste activa,761,,
Terugneming van voorzieningen voor niet-recurrente financiële risico's,,,
en kosten,7621,,
Meerwaarden bij de realisatie van financiële vaste activa,7631,,
Andere niet-recurrente financiële opbrengsten,769,,
NIET-RECURRENTE KOSTEN,66,202.213,1.828
Niet-recurrente bedrijfskosten,66A,202.213,1.828
Niet-recurrente afschrijvingen en waardeverminderingen op,,,
"oprichtingskosten, op immateriële en materiële vaste activa",660,,
Voorzieningen voor niet-recurrente bedrijfsrisico's en -kosten:,,,
toevoegingen (bestedingen) (+)/(-),6620,,
Minderwaarden bij de realisatie van immateriële en materiële vaste,,,
activa,6630,,
Andere niet-recurrente bedrijfskosten,664/7,202.213,1.828
Als herstructureringskosten geactiveerde niet-recurrente,,,
bedrijfskosten (-),6690,,
Niet-recurrente financiële kosten,66B,,
Waardeverminderingen op financiële vaste activa,661,,
Voorzieningen voor niet-recurrente financiële risico's en kosten:,,,
toevoegingen (bestedingen) (+)/(-),6621,,
Minderwaarden bij de realisatie van financiële vaste activa,6631,,
Andere niet-recurrente financiële kosten,668,,
Als herstructureringskosten geactiveerde niet-recurrente financiële,,,
kosten (-),6691,,
Nr.,BE 0478.065.191,VOL-kap 6.13
"",Codes,Boekjaar
BELASTINGEN OP HET RESULTAAT,,
Belastingen op het resultaat van het boekjaar,9134,52.766
Verschuldigde of betaalde belastingen en voorheffingen,9135,81.314
Geactiveerde overschotten van betaalde belastingen en voorheffingen,9136,28.548
Geraamde belastingsupplementen,9137,
Belastingen op het resultaat van vorige boekjaren,9138,
Verschuldigde of betaalde belastingsupplementen,9139,
Geraamde belastingsupplementen of belastingen waarvoor een voorziening werd gevormd,9140,
"Belangrijkste oorzaken van de verschillen tussen de winst vóór belastingen, zoals die blijkt",,
"uit de jaarrekening, en de geraamde belastbare winst",,
"",Codes,Boekjaar
nnen van belastinglatenties,,
Actieve latenties,9141,
Gecumuleerde fiscale verliezen die aftrekbaar zijn van latere belastbare winsten,9142,
Andere actieve latenties,,
Passieve latenties,9144,
Uitsplitsing van de passieve latenties,,
"",Codes,Boekjaar,Vorig boekjaar
BELASTING OP DE TOEGEVOEGDE WAARDE EN,,,
BELASTINGEN TEN LASTE VAN DERDEN,,,
In rekening gebrachte belasting op de toegevoegde waarde,,,
Aan de vennootschap (aftrekbaar),9145,5.032.502,5.456.019
Door de vennootschap,9146,5.063.599,5.381.574
Ingehouden bedragen ten laste van derden bij wijze van,,,
Bedrijfsvoorheffing,9147,1.019.714,1.162.881
Roerende voorheffing,9148,,
Nr.,BE 0478.065.191,VOL-kap 6.15
Nr.,BE 0478.065.191,VOL-kap 6.15
"",Codes,Boekjaar,Vorig boekjaar
Op hoogstens één jaar,9372,,
Nr.,BE 0478.065.191,VOL-kap 6.16
"",Codes,Boekjaar
"BESTUURDERS EN ZAAKVOERDERS, NATUURLIJKE OF RECHTSPERSONEN",,
DIE DE VENNOOTSCHAP RECHTSTREEKS OF ONRECHTSTREEKS,,
"CONTROLEREN ZONDER VERBONDEN ONDERNEMINGEN TE ZIJN, OF",,
ANDERE ONDERNEMINGEN DIE DOOR DEZE PERSONEN RECHTSTREEKS OF,,
ONRECHTSTREEKS GECONTROLEERD WORDEN,,
Uitstaande vorderingen op deze personen,9500,
"Voornaamste voorwaarden betreffende de vorderingen, interestvoet, looptijd, eventueel",,
afgeloste of afgeschreven bedragen of bedragen waarvan werd afgezien,,
Waarborgen toegestaan in hun voordeel,9501,
Andere betekenisvolle verplichtingen aangegaan in hun voordeel,9502,
Rechtstreekse en onrechtstreekse bezoldigingen en ten laste van de resultatenrekening,,
"toegekende pensioenen, voor zover deze vermelding niet uitsluitend of hoofdzakelijk",,
betrekking heeft op de toestand van een enkel identificeerbaar persoon,,
Aan bestuurders en zaakvoerders,9503,13.851.981
Aan oud-bestuurders en oud-zaakvoerders,9504,
"",Codes,Boekjaar,
DE COMMISSARIS(SEN) EN DE PERSONEN MET WIE HIJ (ZIJ) VERBONDEN IS,,,
(ZIJN),,,
Bezoldiging van de commissaris(sen),9505,,8.470
Bezoldiging voor uitzonderlijke werkzaamheden of bijzondere opdrachten uitgevoerd,,,
binnen de vennootschap door de commissaris(sen),,,
Andere controleopdrachten,95061,,
Belastingadviesopdrachten,95062,,
Andere opdrachten buiten de revisorale opdrachten,95063,,
